year,Country,ECONOMIC FREEDOM
2016,Albania,7.54
2016,Algeria,4.99
2016,Angola,5.17
2016,Argentina,4.84
2016,Armenia,7.57
2016,Australia,7.98
2016,Austria,7.58
2016,Azerbaijan,6.49
2016,Bahamas,7.34
2016,Bahrain,7.56
2016,Bangladesh,6.3
2016,Barbados,6.43
2016,Belarus,6.23
2016,Belgium,7.32
2016,Belize,6.86
2016,Benin,5.98
2016,Bhutan,7.02
2016,Bolivia,6.23
2016,Bosnia and Herzegovina,6.6
2016,Botswana,7.43
2016,Brazil,5.75
2016,Brunei Darussalam,6.93
2016,Bulgaria,7.41
2016,Burkina Faso,6.05
2016,Burundi,5.92
2016,Cambodia,7.17
2016,Cameroon,5.82
2016,Canada,7.98
2016,Cape Verde,6.68
2016,Central Afr. Rep.,5.11
2016,Chad,5.44
2016,Chile,7.8
2016,China,6.46
2016,Colombia,6.5
2016,"Congo, Dem. R.",5.67
2016,"Congo, Rep. Of",5.02
2016,Costa Rica,7.55
2016,Cote d'Ivoire,6
2016,Croatia,6.96
2016,Cyprus,7.71
2016,Czech Rep.,7.56
2016,Denmark,7.77
2016,Dominican Rep.,7.18
2016,Ecuador,6.06
2016,Egypt,5.72
2016,El Salvador,7.15
2016,Estonia,7.86
2016,Ethiopia,5.73
2016,Fiji,6.79
2016,Finland,7.65
2016,France,7.25
2016,Gabon,5.84
2016,"Gambia, The",7.34
2016,Georgia,8.02
2016,Germany,7.69
2016,Ghana,6.6
2016,Greece,6.46
2016,Guatemala,7.64
2016,Guinea,5.93
2016,Guinea-Bissau,5.25
2016,Guyana,6.31
2016,Haiti,6.51
2016,Honduras,7.06
2016,Hong Kong,8.97
2016,Hungary,7.22
2016,Iceland,7.22
2016,India,6.63
2016,Indonesia,7.16
2016,Iran,6.03
2016,Iraq,5.4
2016,Ireland,8.07
2016,Israel,7.49
2016,Italy,7.27
2016,Jamaica,7.18
2016,Japan,7.47
2016,Jordan,7.46
2016,Kazakhstan,7.11
2016,Kenya,7.2
2016,"Korea, South",7.53
2016,Kuwait,6.75
2016,Kyrgyz Republic,6.93
2016,Laos,6.91
2016,Latvia,7.64
2016,Lebanon,6.99
2016,Lesotho,6.38
2016,Liberia,6.56
2016,Libya,4.74
2016,Lithuania,7.86
2016,Luxembourg,7.6
2016,Macedonia,7.13
2016,Madagascar,6.19
2016,Malawi,5.86
2016,Malaysia,6.92
2016,Mali,5.8
2016,Malta,7.73
2016,Mauritania,5.96
2016,Mauritius,8.01
2016,Mexico,6.9
2016,Moldova,6.64
2016,Mongolia,7.4
2016,Montenegro,7.04
2016,Morocco,6.37
2016,Mozambique,5.5
2016,Myanmar,5.42
2016,Namibia,6.4
2016,Nepal,6.53
2016,Netherlands,7.71
2016,New Zealand,8.49
2016,Nicaragua,7.27
2016,Niger,6.01
2016,Nigeria,6.32
2016,Norway,7.6
2016,Oman,6.76
2016,Pakistan,6
2016,Panama,7.58
2016,Pap. New Guinea,6.25
2016,Paraguay,6.95
2016,Peru,7.43
2016,Philippines,7.34
2016,Poland,7.27
2016,Portugal,7.51
2016,Qatar,7.49
2016,Romania,7.69
2016,Russia,6.83
2016,Rwanda,7.48
2016,Saudi Arabia,6.52
2016,Senegal,6.22
2016,Serbia,6.85
2016,Seychelles,7.23
2016,Sierra Leone,5.75
2016,Singapore,8.84
2016,Slovak Rep,7.3
2016,Slovenia,7.05
2016,South Africa,6.65
2016,Spain,7.56
2016,Sri Lanka,6.49
2016,Sudan,5.36
2016,Suriname,6.36
2016,Swaziland,6.46
2016,Sweden,7.44
2016,Switzerland,8.39
2016,Syria,5.02
2016,Taiwan,7.89
2016,Tajikistan,6.72
2016,Tanzania,6.92
2016,Thailand,6.85
2016,Timor-Leste,6.55
2016,Togo,5.82
2016,Trinidad & Tob.,6.73
2016,Tunisia,6.29
2016,Turkey,6.84
2016,Uganda,7.41
2016,Ukraine,5.98
2016,Unit. Arab Em.,7.5
2016,United Kingdom,8
2016,United States,8.03
2016,Uruguay,7.16
2016,Venezuela,2.88
2016,Vietnam,6.42
2016,"Yemen, Rep.",6.34
2016,Zambia,6.61
2016,Zimbabwe,6.06
