Country,Region,Happiness Score
Switzerland,Western Europe,7.587
Iceland,Western Europe,7.561
Denmark,Western Europe,7.527
Norway,Western Europe,7.522
Canada,North America,7.427
Finland,Western Europe,7.406
Netherlands,Western Europe,7.378
Sweden,Western Europe,7.364
New Zealand,Australia and New Zealand,7.286
Australia,Australia and New Zealand,7.284
Israel,Middle East and Northern Africa,7.278
Costa Rica,Latin America and Caribbean,7.226
Austria,Western Europe,7.2
Mexico,Latin America and Caribbean,7.187
United States,North America,7.119
Brazil,Latin America and Caribbean,6.983
Luxembourg,Western Europe,6.946
Ireland,Western Europe,6.94
Belgium,Western Europe,6.937
United Arab Emirates,Middle East and Northern Africa,6.901
United Kingdom,Western Europe,6.867
Oman,Middle East and Northern Africa,6.853
Venezuela,Latin America and Caribbean,6.81
Singapore,Southeastern Asia,6.798
Panama,Latin America and Caribbean,6.786
Germany,Western Europe,6.75
Chile,Latin America and Caribbean,6.67
Qatar,Middle East and Northern Africa,6.611
France,Western Europe,6.575
Argentina,Latin America and Caribbean,6.574
Czech Republic,Central and Eastern Europe,6.505
Uruguay,Latin America and Caribbean,6.485
Colombia,Latin America and Caribbean,6.477
Thailand,Southeastern Asia,6.455
Saudi Arabia,Middle East and Northern Africa,6.411
Spain,Western Europe,6.329
Malta,Western Europe,6.302
Taiwan,Eastern Asia,6.298
Kuwait,Middle East and Northern Africa,6.295
Suriname,Latin America and Caribbean,6.269
Trinidad and Tobago,Latin America and Caribbean,6.168
El Salvador,Latin America and Caribbean,6.13
Guatemala,Latin America and Caribbean,6.123
Uzbekistan,Central and Eastern Europe,6.003
Slovakia,Central and Eastern Europe,5.995
Japan,Eastern Asia,5.987
South Korea,Eastern Asia,5.984
Ecuador,Latin America and Caribbean,5.975
Bahrain,Middle East and Northern Africa,5.96
Italy,Western Europe,5.948
Bolivia,Latin America and Caribbean,5.89
Moldova,Central and Eastern Europe,5.889
Paraguay,Latin America and Caribbean,5.878
Kazakhstan,Central and Eastern Europe,5.855
Slovenia,Central and Eastern Europe,5.848
Lithuania,Central and Eastern Europe,5.833
Nicaragua,Latin America and Caribbean,5.828
Peru,Latin America and Caribbean,5.824
Belarus,Central and Eastern Europe,5.813
Poland,Central and Eastern Europe,5.791
Malaysia,Southeastern Asia,5.77
Croatia,Central and Eastern Europe,5.759
Libya,Middle East and Northern Africa,5.754
Russia,Central and Eastern Europe,5.716
Jamaica,Latin America and Caribbean,5.709
North Cyprus,Western Europe,5.695
Cyprus,Western Europe,5.689
Algeria,Middle East and Northern Africa,5.605
Kosovo,Central and Eastern Europe,5.589
Turkmenistan,Central and Eastern Europe,5.548
Mauritius,Sub-Saharan Africa,5.477
Hong Kong,Eastern Asia,5.474
Estonia,Central and Eastern Europe,5.429
Indonesia,Southeastern Asia,5.399
Vietnam,Southeastern Asia,5.36
