Country,Population,Density (P/Km²)
China,"1,438,207,241",153
India,"1,377,233,523",464
United States,"330,610,570",36
Indonesia,"272,931,713",151
Pakistan,"219,992,900",287
Brazil,"212,253,150",25
Nigeria,"205,052,107",226
Bangladesh,"164,354,176","1,265"
Russia,"145,922,010",9
Mexico,"128,655,589",66
Japan,"126,552,765",347
Ethiopia,"114,357,494",115
Philippines,"109,280,343",368
Egypt,"101,930,276",103
Vietnam,"97,160,127",314
DR Congo,"88,972,681",40
Turkey,"84,153,250",110
Iran,"83,771,587",52
Germany,"83,730,223",240
Thailand,"69,764,925",137
United Kingdom,"67,814,098",281
France,"65,244,628",119
Italy,"60,479,424",206
Tanzania,"59,368,313",67
South Africa,"59,154,802",49
Myanmar,"54,335,948",83
Kenya,"53,521,116",94
South Korea,"51,260,395",527
Colombia,"50,771,878",46
Spain,"46,751,175",94
Uganda,"45,427,637",229
Argentina,"45,111,229",17
Algeria,"43,685,618",18
Sudan,"43,632,213",25
Ukraine,"43,785,122",75
Iraq,"40,031,626",93
Afghanistan,"38,742,911",60
Poland,"37,854,825",124
Canada,"37,674,770",4
Morocco,"36,820,713",83
Saudi Arabia,"34,701,377",16
Uzbekistan,"33,368,859",79
Peru,"32,876,986",26
Angola,"32,644,783",26
Malaysia,"32,280,610",99
Mozambique,"31,067,362",40
Ghana,"30,936,375",137
Yemen,"29,687,214",56
Nepal,"29,027,347",203
Venezuela,"28,451,828",32
Madagascar,"27,539,106",48
Cameroon,"26,405,174",56
Côte d'Ivoire,"26,239,250",83
North Korea,"25,756,088",214
Australia,"25,439,164",3
Niger,"24,014,064",19
Taiwan,"23,808,164",673
Sri Lanka,"21,395,196",341
Burkina Faso,"20,780,371",76
Mali,"20,125,282",17
Romania,"19,262,731",84
Malawi,"19,024,426",203
Chile,"19,082,804",26
Kazakhstan,"18,730,568",7
Zambia,"18,273,379",25
Guatemala,"17,846,248",167
Ecuador,"17,587,526",71
Syria,"17,410,293",95
Netherlands,"17,127,290",508
Senegal,"16,649,599",87
Cambodia,"16,671,185",95
Chad,"16,324,440",13
Somalia,"15,798,020",25
Zimbabwe,"14,818,157",38
Guinea,"13,056,478",53
Rwanda,"12,883,878",525
Benin,"12,055,347",108
Burundi,"11,814,346",463
Tunisia,"11,793,319",76
Bolivia,"11,640,159",11
Belgium,"11,579,477",383
Haiti,"11,373,955",414
Cuba,"11,327,988",106
South Sudan,"11,166,783",18
Dominican Republic,"10,825,682",225
Czech Republic (Czechia),"10,705,012",139
Greece,"10,433,037",81
Jordan,"10,182,442",115
Portugal,"10,202,571",111
Azerbaijan,"10,120,555",123
Sweden,"10,086,531",25
Honduras,"9,871,892",89
United Arab Emirates,"9,865,845",118
Hungary,"9,665,192",107
Tajikistan,"9,492,342",68
Belarus,"9,449,940",47
Austria,"8,996,022",109
Papua New Guinea,"8,911,530",20
Serbia,"8,744,288",100
Israel,"8,627,444",400
Switzerland,"8,641,786",219
Togo,"8,237,580",152
Sierra Leone,"7,942,879",111
Hong Kong,"7,484,618","7,140"
Laos,"7,253,719",32
Paraguay,"7,114,524",18
Bulgaria,"6,958,627",64
Libya,"6,852,010",4
Lebanon,"6,831,445",667
Nicaragua,"6,608,366",55
Kyrgyzstan,"6,501,804",34
El Salvador,"6,479,609",313
Turkmenistan,"6,012,850",13
Singapore,"5,840,996","8,358"
Denmark,"5,788,108",137
Finland,"5,539,002",18
Congo,"5,489,191",16
Slovakia,"5,459,116",114
Norway,"5,412,632",15
Oman,"5,078,933",16
State of Palestine,"5,076,280",847
Costa Rica,"5,084,636",100
Liberia,"5,032,469",53
Ireland,"4,926,480",72
Central African Republic,"4,812,256",8
New Zealand,"4,814,272",18
Mauritania,"4,623,535",5
Panama,"4,300,667",58
Kuwait,"4,257,495",240
Croatia,"4,110,214",73
Moldova,"4,035,814",123
Georgia,"3,990,681",57
Eritrea,"3,536,285",35
Uruguay,"3,471,314",20
Bosnia and Herzegovina,"3,284,806",64
Mongolia,"3,267,320",2
Armenia,"2,962,137",104
Jamaica,"2,958,567",273
Qatar,"2,870,922",248
Albania,"2,878,420",105
Puerto Rico,"2,874,636",323
Lithuania,"2,729,553",43
Namibia,"2,531,290",3
Gambia,"2,402,083",239
Botswana,"2,341,649",4
Gabon,"2,214,593",9
Lesotho,"2,138,799",71
North Macedonia,"2,083,391",83
Slovenia,"2,078,881",103
Guinea-Bissau,"1,958,132",70
Latvia,"1,890,218",30
Bahrain,"1,688,629","2,239"
Equatorial Guinea,"1,392,950",50
Trinidad and Tobago,"1,398,579",273
Estonia,"1,326,357",31
Timor-Leste,"1,313,184",89
Mauritius,"1,271,347",626
Cyprus,"1,205,577",131
Eswatini,"1,157,707",67
Djibouti,"985,027",43
Fiji,"895,128",49
Réunion,"894,017",358
Comoros,"865,696",467
Guyana,"785,788",4
Bhutan,"769,867",20
Solomon Islands,"683,301",25
Macao,"647,508","21,645"
Montenegro,"628,050",47
Luxembourg,"623,861",242
Western Sahara,"594,215",2
Suriname,"585,561",4
Cabo Verde,"554,750",138
Maldives,"538,558","1,802"
Malta,"441,308","1,380"
Brunei,"436,624",83
Guadeloupe,"400,110",237
Belize,"396,120",17
Bahamas,"392,477",39
Martinique,"375,323",354
Iceland,"340,795",3
Vanuatu,"305,623",25
French Guiana,"297,029",4
Barbados,"287,305",668
New Caledonia,"284,938",16
French Polynesia,"280,580",77
Mayotte,"271,417",728
Sao Tome & Principe,"218,308",228
Samoa,"198,147",70
Saint Lucia,"183,458",301
Channel Islands,"173,536",915
Guam,"168,474",313
Curaçao,"163,958",370
Kiribati,"119,069",147
Micronesia,"114,776",164
Grenada,"112,418",331
St. Vincent & Grenadines,"110,869",284
Aruba,"106,675",593
Tonga,"105,449",147
U.S. Virgin Islands,"104,456",298
Seychelles,"98,224",214
Antigua and Barbuda,"97,764",223
Isle of Man,"84,942",149
Andorra,"77,240",164
Dominica,"71,950",96
Cayman Islands,"65,564",274
Bermuda,"62,323","1,246"
Marshall Islands,"59,109",329
Northern Mariana Islands,"57,490",125
Greenland,"56,750",0
American Samoa,"55,215",276
Saint Kitts & Nevis,"53,123",205
Faeroe Islands,"48,826",35
Sint Maarten,"42,776","1,261"
Monaco,"39,186","26,337"
Turks and Caicos,"38,609",41
Saint Martin,"38,529",730
Liechtenstein,"38,106",238
San Marino,"33,917",566
Gibraltar,"33,693","3,369"
British Virgin Islands,"30,190",202
